Year,avg_points_per_game,avg_three_point_attempts,avg_fg_percentage,total_players
1980.0,10.6,17.98,0.469,252
1981.0,10.0,13.49,0.468,270
1982.0,9.95,14.24,0.479,280
1983.0,9.79,13.73,0.47,280
1984.0,9.95,15.66,0.481,277
1985.0,10.05,19.9,0.48,282
1986.0,9.83,21.06,0.474,283
1987.0,9.91,29.36,0.466,284
1988.0,9.83,30.94,0.47,286
1989.0,9.55,38.96,0.46,314
1990.0,9.66,40.7,0.459,331
1991.0,9.85,44.39,0.464,335
1992.0,9.4,47.06,0.459,341
1993.0,9.45,55.13,0.463,343
1994.0,9.3,60.04,0.456,341
1995.0,9.38,95.41,0.458,347
1996.0,9.12,94.68,0.452,361
1997.0,8.82,98.61,0.444,373
1998.0,8.81,76.88,0.441,369
1999.0,8.77,54.37,0.433,336
2000.0,8.79,82.44,0.439,378
2001.0,8.44,77.83,0.434,375
2002.0,8.86,89.12,0.436,379
2003.0,8.96,93.04,0.433,362
2004.0,8.64,85.59,0.431,372
2005.0,8.98,92.74,0.438,388
2006.0,8.7,90.88,0.445,404
2007.0,9.11,101.69,0.449,395
2008.0,8.82,102.56,0.447,385
2009.0,9.21,108.52,0.45,384
2010.0,9.16,104.03,0.454,391
2011.0,9.06,105.18,0.453,399
2012.0,8.7,86.44,0.44,398
2013.0,8.53,112.26,0.443,406
2014.0,8.69,118.1,0.444,416
2015.0,8.93,119.15,0.442,423
2016.0,8.87,132.89,0.447,414
2017.0,9.22,150.31,0.451,413
